participant_id,treatment,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20
P163,1,41.16,26.63,52.12,59.15,57.04,39.5,56.73,49.66,43.69,32.57,52.3,51.95,43.13,60.36,29.89,47.57,40.92,50.43,47.65,50.04
P164,1,45.79,39.8,45.38,62.15,46.45,51.51,64.14,50.44,39.07,70.47,73.88,51.23,48.79,48.53,64.86,44.68,83.62,66.83,52.22,77.41
P165,0,30.43,50.58,51.1,32.56,36.4,44.02,38.23,55.08,51.15,46.81,40.91,34.36,49.83,48.94,38.26,49.25,43.29,47.67,31.26,37.44
P166,0,56.72,59.41,73.93,62.72,55.68,62.08,70.56,64.64,57.74,54.75,54.98,58.24,46.17,54.66,57.56,59.38,61.63,62.81,59.42,64.04
P167,0,51.41,63.28,49.1,47.72,48.64,43.12,56.86,59.4,60.41,54.84,65.84,65.54,60.51,52.77,46.07,53.91,50.38,55.82,52.32,52.34
P168,1,66.65,61.68,62.76,61.19,59.12,60.26,62.26,71.26,51.44,57.4,65.22,52.97,65.97,53.56,43.05,52.92,50.96,43.43,51.24,68.07
P169,0,28.53,48.63,56.44,58.86,45.49,44.21,44.64,46.22,54.62,57.92,41.55,60.0,57.74,44.27,54.67,64.25,34.72,48.14,54.28,55.24
P170,0,32.8,45.75,51.0,41.0,47.83,50.5,41.48,44.74,43.78,69.45,44.21,47.86,56.5,41.57,60.83,39.65,54.14,37.09,56.45,45.31
P171,0,39.77,51.71,52.18,59.8,43.38,51.21,49.86,53.58,54.71,52.2,54.89,45.97,38.57,48.15,63.72,60.99,43.61,45.75,48.91,44.13
P172,1,42.43,54.33,55.49,46.37,49.68,47.95,52.1,38.03,39.15,62.73,45.78,40.18,45.83,30.36,47.08,40.26,41.94,42.09,47.31,41.71
P173,1,42.75,31.46,34.79,23.38,35.37,40.48,32.1,34.16,48.98,43.66,41.15,43.58,51.57,43.51,28.11,33.42,52.91,32.79,42.6,41.13
P174,1,58.16,61.43,67.58,60.24,45.65,58.39,53.82,45.34,45.71,48.97,52.79,62.68,43.05,52.2,32.4,50.97,50.18,46.25,55.36,44.21
P175,0,32.8,38.75,32.79,47.21,61.72,37.02,42.28,49.01,49.19,38.67,39.61,38.4,37.86,50.33,51.55,50.67,36.85,33.48,40.3,43.01
P176,0,41.94,45.69,42.71,38.37,34.38,41.31,36.45,42.4,40.93,42.95,44.7,34.42,39.33,48.51,31.39,46.08,36.56,41.57,59.35,31.63
P177,0,46.76,50.97,50.12,47.92,40.47,42.04,47.77,58.18,33.57,29.65,42.53,44.72,34.31,44.46,55.19,56.34,57.51,57.21,55.88,39.67
P178,1,68.64,56.74,52.63,50.18,37.1,54.79,61.05,46.68,49.4,54.03,53.49,56.2,48.39,48.4,57.99,52.81,55.58,76.68,49.37,62.49
P179,1,37.54,47.41,50.37,40.27,39.88,49.78,65.15,49.33,47.32,67.58,37.48,46.74,54.28,38.54,34.7,30.19,42.44,50.65,27.7,42.25
P180,1,59.22,51.04,44.05,64.4,48.97,42.91,55.14,67.53,70.38,37.41,54.78,52.75,71.68,54.83,43.16,57.95,57.3,54.1,57.71,41.12
P181,0,51.01,56.22,55.4,46.44,53.81,54.09,70.55,50.25,43.94,44.5,58.1,66.77,38.27,56.73,46.82,34.5,40.13,50.1,56.35,65.34
P182,0,56.11,68.33,65.6,52.22,74.75,60.65,42.33,51.29,54.08,45.94,50.68,49.3,45.75,55.62,44.46,51.47,57.88,47.31,43.01,62.2
P183,0,54.84,56.87,50.43,47.13,55.89,45.54,63.22,52.88,42.79,48.91,62.07,60.97,58.82,60.16,51.31,47.82,41.44,41.99,46.56,55.54
P184,0,32.73,45.1,29.55,44.64,28.94,43.78,34.45,41.02,27.69,33.26,34.49,49.53,35.01,34.69,36.26,32.2,56.11,22.66,29.53,24.66
P185,1,49.34,35.49,45.64,65.99,52.98,56.03,58.2,52.49,49.96,71.61,62.26,61.44,63.48,75.5,79.51,49.36,69.83,58.38,54.89,52.8
P186,1,54.62,48.56,45.44,45.34,53.15,51.84,49.68,52.23,45.82,65.91,53.61,45.48,31.56,44.39,47.19,51.68,30.73,59.72,39.26,60.79
P187,0,40.01,33.44,29.01,42.35,52.63,41.73,58.57,48.37,48.83,41.89,34.2,42.09,36.23,51.06,35.48,50.7,38.17,43.8,51.63,37.74
P188,1,53.7,46.57,44.41,48.68,38.46,52.15,37.42,52.94,58.24,47.86,56.15,48.87,44.74,46.31,69.47,66.61,62.72,48.98,43.37,53.48
P189,1,51.26,47.28,62.01,33.75,58.16,54.28,61.68,52.3,43.86,65.12,66.05,62.42,43.5,60.95,56.55,59.29,43.26,43.59,57.54,54.86
P190,0,46.78,54.71,53.02,39.71,44.3,38.94,48.61,49.89,42.34,43.35,42.67,54.45,58.48,53.79,43.96,51.05,38.91,43.63,52.0,35.82
P191,1,61.55,43.25,54.76,37.92,45.35,59.78,58.25,60.55,47.84,40.2,54.21,54.67,45.14,42.2,65.25,56.29,46.24,57.26,66.44,54.61
P192,1,59.14,34.48,43.69,36.69,35.1,34.82,44.14,43.71,52.23,46.54,57.01,44.24,21.02,34.66,54.41,31.7,41.7,48.43,48.61,51.01
P193,1,49.3,52.54,41.2,37.44,33.35,58.37,51.32,48.29,54.7,40.21,51.17,59.58,70.32,62.55,50.48,55.38,50.13,56.43,57.77,50.61
P194,0,57.58,71.31,73.07,47.44,66.78,51.38,43.9,53.16,49.28,57.1,47.78,54.0,61.67,59.69,62.93,35.0,45.6,62.78,58.92,66.38
P195,1,52.45,55.53,38.88,46.8,48.51,54.52,46.32,49.73,46.71,58.47,56.35,45.17,36.47,60.53,57.35,59.7,51.36,51.83,52.21,49.77
P196,1,57.11,50.26,42.37,48.34,49.01,45.28,36.34,55.31,50.06,42.64,37.9,42.66,53.96,33.34,43.45,45.27,39.74,45.9,48.8,26.67
P197,1,35.06,39.09,46.76,35.74,57.04,47.37,34.31,48.2,34.3,44.25,42.2,50.71,50.28,35.23,48.79,41.07,37.31,45.65,47.57,40.37
P198,1,42.49,53.39,43.09,39.56,51.54,53.26,46.63,53.63,51.52,53.26,59.73,52.19,44.05,54.05,53.53,49.07,45.93,48.8,39.09,51.59
P199,0,67.63,47.51,38.23,50.21,52.25,44.88,63.07,70.26,66.23,55.71,49.63,44.7,45.5,53.51,47.27,71.76,64.1,48.03,60.7,49.95
P200,1,45.71,42.4,31.76,47.72,51.36,52.1,33.18,34.79,43.55,38.07,51.49,45.22,35.66,31.58,38.36,43.97,28.61,50.45,36.18,30.43
