participant_id,treatment,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20
P163,0,44.91,58.17,48.05,62.84,64.66,60.66,63.42,45.46,63.74,52.73,64.95,61.09,62.99,48.3,53.43,52.63,64.5,62.52,50.5,60.38
P164,0,32.18,37.1,29.34,45.72,34.06,44.61,26.25,31.09,28.22,34.4,45.55,33.09,25.25,42.55,37.41,43.21,41.26,42.18,36.25,28.82
P165,1,61.33,49.04,48.22,43.13,47.6,47.53,59.77,47.44,44.39,42.49,52.15,51.46,42.34,49.13,53.05,43.15,55.92,36.38,46.69,55.98
P166,1,61.07,67.74,56.78,51.17,60.99,59.41,54.71,35.09,59.11,62.85,60.5,69.89,54.65,58.77,60.26,57.48,42.84,65.09,53.36,64.02
P167,1,49.41,63.27,54.97,57.6,60.39,42.86,58.5,57.68,58.05,53.15,52.57,45.7,63.38,42.61,62.8,55.38,52.95,62.28,60.58,69.31
P168,1,37.12,48.03,55.87,39.51,32.81,33.33,54.7,34.79,36.32,44.75,34.31,46.62,38.61,48.56,47.55,32.13,46.81,30.08,45.98,60.6
P169,1,64.75,43.65,53.07,45.76,52.66,43.76,59.52,41.44,42.22,46.01,57.31,63.87,60.86,41.99,55.85,53.22,55.31,64.37,56.19,44.57
P170,1,53.13,45.34,43.06,50.36,72.22,28.74,53.56,43.53,49.74,59.74,38.87,52.52,57.5,48.21,66.83,53.28,50.8,61.86,50.05,59.5
P171,1,50.91,61.74,54.13,53.78,39.38,52.9,55.36,52.73,62.0,45.52,63.41,65.4,53.08,50.65,58.45,52.61,59.19,49.99,50.36,38.34
P172,0,42.3,50.95,56.85,52.45,36.43,56.3,34.5,28.7,34.83,34.41,37.52,39.36,40.95,23.13,34.08,43.84,36.56,36.68,34.24,26.21
P173,0,33.69,42.94,37.21,43.32,29.46,50.26,42.8,52.03,47.47,36.81,44.81,36.4,46.44,41.13,44.14,41.4,48.16,38.26,45.49,31.79
P174,0,56.35,44.84,60.77,63.39,75.36,48.52,54.1,56.04,60.09,61.47,59.39,64.88,58.87,60.56,77.14,61.57,53.97,59.5,55.47,52.46
P175,0,40.38,64.06,54.25,44.11,54.8,40.15,46.74,64.89,51.42,68.01,71.93,60.89,53.97,50.5,57.51,53.15,45.6,54.68,52.53,46.14
P176,1,44.05,67.29,50.67,66.8,44.14,57.44,52.06,64.33,58.95,49.66,51.73,63.81,36.5,50.69,45.87,54.73,49.41,42.64,57.63,67.24
P177,1,51.78,39.03,55.16,63.03,40.71,48.04,50.91,39.25,27.37,60.71,56.33,41.03,50.21,30.16,33.18,34.85,56.08,33.96,46.47,37.4
P178,1,35.97,44.72,35.53,44.94,35.5,54.42,50.38,49.35,44.78,34.73,40.13,55.55,56.71,60.72,46.38,50.08,49.32,44.79,51.68,35.63
P179,1,37.04,38.86,48.99,52.41,44.51,49.97,48.14,29.5,52.94,30.11,47.04,40.75,36.06,38.22,32.09,38.89,37.61,37.48,39.84,42.47
P180,0,49.62,56.44,53.39,49.61,49.12,52.36,59.62,36.04,55.47,52.44,52.79,48.01,50.17,66.97,58.04,63.43,55.06,40.57,54.57,43.08
P181,0,65.61,65.94,47.21,42.49,68.57,47.49,68.51,51.39,43.36,47.19,45.78,54.42,61.36,58.52,54.38,44.12,58.26,45.89,59.18,57.21
P182,0,62.01,50.56,62.73,47.81,51.21,63.27,61.33,39.62,48.12,61.0,35.28,59.99,58.28,51.04,61.41,46.18,57.92,53.16,56.96,51.77
P183,1,52.54,52.75,50.72,50.15,67.02,56.86,21.54,54.71,56.24,49.99,41.54,35.85,67.45,57.82,49.78,54.72,64.09,54.29,58.1,47.15
P184,1,47.69,40.45,54.19,56.87,42.4,43.79,46.88,45.98,55.61,48.72,50.92,45.08,29.42,58.57,44.54,51.66,52.38,44.83,47.35,46.89
P185,0,43.94,54.48,48.65,49.85,52.58,42.02,61.81,52.58,43.41,45.75,57.59,52.49,53.7,45.08,51.66,61.95,63.52,41.94,62.25,65.95
P186,1,41.84,33.7,31.01,49.4,40.53,43.27,48.51,40.66,29.91,32.11,46.94,44.51,32.23,40.87,47.05,51.38,43.99,27.62,34.84,30.94
P187,1,37.88,32.02,44.03,38.84,49.52,35.78,52.51,42.4,46.98,48.66,24.95,37.7,43.22,51.54,29.58,50.0,46.03,41.53,36.46,39.89
P188,1,53.4,52.48,68.25,71.43,49.59,57.18,50.8,54.75,65.89,70.59,53.73,41.55,64.18,50.34,72.76,65.95,70.37,51.52,49.38,49.97
P189,1,41.87,46.75,42.98,51.75,26.56,30.79,42.33,47.09,47.37,43.32,40.85,44.71,41.32,38.64,34.04,36.4,32.46,49.23,39.55,45.33
P190,0,36.18,56.73,42.77,55.15,44.43,45.02,49.8,47.53,27.94,57.84,38.11,45.7,52.49,51.05,45.11,43.43,36.95,58.38,56.16,47.45
P191,0,42.88,47.38,48.21,48.29,54.56,40.0,55.78,51.04,61.23,52.24,56.57,49.7,53.86,55.2,66.41,53.7,47.72,57.24,50.66,58.47
P192,0,39.99,44.64,46.5,48.91,44.05,60.98,33.77,44.82,46.6,46.8,42.92,35.92,44.66,52.5,46.75,43.52,36.45,47.45,40.27,47.86
P193,0,49.36,37.3,35.16,56.15,47.41,54.24,43.93,45.05,64.87,25.96,33.6,41.73,46.28,53.31,51.22,46.16,52.27,47.73,40.44,43.46
P194,1,42.02,44.01,45.11,67.53,54.87,56.96,48.32,55.32,45.01,68.31,41.95,50.69,54.71,41.31,46.41,56.9,45.37,43.77,59.52,57.23
P195,0,62.78,68.19,68.22,67.34,58.24,47.71,58.82,69.15,67.03,62.22,58.09,54.78,59.9,55.43,62.1,58.64,62.0,50.06,51.6,66.05
P196,1,55.76,57.65,54.04,46.79,43.78,49.65,47.75,40.41,42.85,41.43,37.01,48.55,58.14,46.61,49.69,48.94,52.86,54.2,43.15,48.17
P197,0,63.3,40.42,51.05,44.39,50.69,58.58,38.91,49.92,55.05,60.54,47.58,50.54,52.96,47.85,49.85,41.93,46.06,61.65,53.8,47.64
P198,0,56.51,43.77,62.75,58.25,49.05,59.17,52.94,48.11,64.03,54.87,51.53,64.77,66.13,56.35,53.07,47.3,65.42,58.6,51.71,57.65
P199,0,48.49,49.5,65.82,60.02,52.43,56.38,67.37,63.84,47.42,48.43,44.35,55.45,70.65,63.16,55.4,53.39,51.36,59.05,78.79,59.55
P200,1,62.15,67.88,56.48,63.0,56.07,65.16,53.12,69.66,62.46,53.6,69.93,48.93,67.84,64.17,46.23,56.98,49.48,50.29,64.59,64.83
