participant_id,treatment,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20
P163,0,55.82,44.86,46.54,44.48,43.22,51.31,45.98,54.31,34.88,41.94,47.42,47.32,65.93,45.07,40.97,46.43,45.54,44.02,47.4,56.63
P164,1,52.42,62.07,66.84,43.63,45.2,75.63,43.93,46.04,55.3,55.93,42.83,48.9,44.52,51.33,61.31,46.95,52.8,57.14,54.54,57.98
P165,1,60.67,67.67,79.92,71.82,71.1,62.04,77.55,66.6,65.14,71.35,81.01,55.85,70.96,68.39,59.38,62.04,53.02,54.55,78.04,65.98
P166,1,50.37,40.53,42.28,48.69,57.93,53.07,57.25,58.96,46.75,38.68,52.51,36.81,51.81,39.15,53.14,50.15,50.31,65.76,51.41,32.89
P167,1,37.6,42.57,37.77,44.22,50.36,31.95,44.91,44.29,28.94,49.92,26.27,32.01,52.39,36.03,41.05,45.16,47.84,54.07,44.84,38.26
P168,0,68.79,38.65,67.71,47.87,55.07,48.99,51.75,54.62,47.09,61.19,52.95,51.23,55.23,59.95,51.1,58.32,56.66,51.09,50.81,48.31
P169,1,53.2,42.0,28.73,50.81,50.97,65.12,47.24,51.45,47.83,35.89,40.67,44.22,51.38,37.16,58.81,41.09,50.2,54.53,64.23,45.98
P170,1,47.23,52.72,70.42,73.03,55.57,64.42,48.08,60.03,34.07,44.96,61.45,47.71,71.0,52.56,47.41,56.79,63.4,57.07,62.08,46.61
P171,0,61.97,65.17,57.11,31.24,63.21,53.89,62.94,58.11,59.4,71.35,55.27,59.18,52.32,57.69,76.06,55.64,50.48,64.65,50.48,50.86
P172,0,60.51,54.98,58.9,54.56,76.44,46.39,67.27,56.39,67.76,51.22,68.92,74.32,46.93,58.32,56.52,52.91,59.99,59.91,52.22,52.17
P173,1,38.95,57.9,62.89,43.05,63.18,56.1,50.54,55.83,56.81,64.23,59.45,50.44,71.0,60.97,60.0,53.63,49.06,62.48,59.73,66.66
P174,0,21.69,40.27,33.53,41.3,37.88,61.18,45.27,41.91,33.62,33.33,40.89,57.58,52.42,40.84,41.51,36.75,44.43,35.14,36.84,49.9
P175,0,34.27,52.52,41.51,53.03,42.84,57.94,40.99,64.21,36.6,44.05,65.36,51.05,46.38,49.19,57.95,52.43,47.77,46.08,36.55,50.72
P176,1,30.11,34.45,40.96,43.42,35.94,30.8,29.35,42.0,34.78,39.71,39.14,39.77,43.84,41.43,44.39,36.49,46.41,39.69,58.68,51.51
P177,0,59.79,62.15,56.64,44.49,52.08,60.66,46.4,68.12,63.91,65.25,49.71,53.25,50.05,40.97,42.21,47.61,58.41,47.27,49.31,55.39
P178,1,66.22,41.86,52.54,53.19,57.34,35.3,47.95,48.66,50.91,56.31,41.04,36.59,44.22,44.14,30.06,52.54,38.29,51.9,51.99,54.35
P179,0,52.5,51.79,51.81,40.93,36.58,44.48,46.13,65.1,46.18,56.54,53.29,51.91,46.57,46.84,63.7,44.32,54.7,45.05,54.4,56.45
P180,0,48.05,57.43,52.09,55.04,48.38,26.75,35.84,63.17,52.5,65.09,48.37,47.31,49.41,65.0,56.53,37.87,46.18,61.21,48.12,59.19
P181,0,57.08,47.85,67.01,56.65,64.35,47.68,63.48,51.62,58.54,76.93,41.77,41.92,61.29,56.91,77.05,62.79,67.5,47.39,49.95,42.1
P182,0,42.63,59.03,36.76,46.21,34.47,59.1,58.68,44.47,60.45,37.61,34.38,47.85,53.16,58.16,43.11,43.34,41.81,51.13,46.8,38.85
P183,0,36.68,47.62,46.35,50.37,34.48,42.8,55.26,41.13,50.11,50.81,50.08,48.96,46.32,47.98,48.21,48.94,45.19,45.41,51.88,57.32
P184,1,44.13,16.7,36.41,21.28,29.75,29.64,28.18,42.76,36.52,19.46,35.54,39.0,36.94,46.71,17.23,20.48,34.03,36.65,29.94,39.1
P185,1,64.75,77.74,62.24,45.27,53.9,60.26,48.79,58.15,57.25,51.69,50.97,61.65,51.25,62.28,54.17,52.47,43.53,42.67,55.95,52.83
P186,0,51.48,32.9,45.71,53.82,35.03,49.27,30.96,45.37,48.82,50.76,52.77,45.71,41.22,32.83,47.58,51.34,53.13,30.42,47.9,47.96
P187,0,36.88,51.64,50.08,26.42,24.78,49.1,44.72,29.89,40.42,31.69,53.55,39.1,47.46,48.31,30.29,37.68,38.35,41.46,40.28,31.2
P188,0,55.7,39.8,42.16,52.81,54.77,50.78,46.99,55.49,55.39,45.2,51.41,59.29,26.51,54.77,64.47,47.19,38.98,45.07,45.18,42.77
P189,1,43.37,55.55,53.6,47.53,53.31,55.65,48.29,57.14,69.22,53.95,52.98,40.68,51.87,54.65,42.25,47.83,49.05,54.58,43.65,70.18
P190,0,44.95,41.13,48.42,54.21,55.38,55.72,46.21,57.0,59.96,51.01,68.66,46.77,40.43,51.13,31.01,53.87,45.91,33.91,53.64,41.76
P191,1,66.66,67.56,53.07,59.27,65.89,61.37,46.98,45.09,58.47,37.76,46.63,46.37,56.24,39.4,68.18,49.73,48.65,51.21,48.95,59.22
P192,1,54.59,63.18,65.46,53.34,59.2,38.03,43.76,33.76,50.64,51.56,44.65,69.08,62.89,60.12,53.76,42.17,59.5,76.53,61.12,68.64
P193,1,48.55,64.68,51.98,46.57,34.69,49.49,49.02,37.26,40.57,54.81,24.32,36.98,37.18,31.01,36.26,50.42,39.56,41.37,46.05,41.39
P194,1,43.78,58.94,38.92,59.64,45.88,50.63,55.21,41.52,57.5,42.69,40.83,73.96,56.21,39.32,58.6,54.76,52.11,42.02,60.92,45.99
P195,0,34.89,37.64,57.67,55.38,37.94,41.32,37.45,32.67,40.27,29.51,44.39,37.22,42.59,28.33,44.2,56.92,36.39,41.14,32.96,46.86
P196,1,57.4,54.61,41.05,49.3,47.15,51.83,54.56,55.34,31.69,59.96,49.57,50.75,49.24,57.78,52.64,38.72,51.3,39.26,43.03,32.93
P197,0,35.35,38.22,43.23,46.73,47.39,50.17,40.09,29.83,50.85,42.65,22.13,41.63,38.7,33.0,45.2,43.1,42.11,51.8,43.14,40.56
P198,0,30.0,33.29,39.2,32.13,38.26,44.86,35.88,35.75,50.45,53.26,44.79,47.15,41.29,51.07,44.19,36.91,33.4,48.25,45.3,45.85
P199,0,40.52,71.81,56.78,57.25,52.32,54.43,56.25,52.69,44.92,44.4,43.65,50.15,55.38,64.04,61.79,49.35,71.22,61.54,55.58,51.87
P200,0,53.09,37.95,51.98,63.75,40.31,38.79,62.13,54.41,42.34,50.59,58.32,45.7,47.44,55.87,40.0,41.49,38.0,45.29,46.32,31.76
